NO,프로젝트 정보,,,,,,,,,행사 정보,,,
,PM 프로필,,프로젝트명,연도,행사시작일,행사종료일,발주처,행사분류,산업분류,주최기관,주관기관,사업개요,연관어
73,E&E 사업부,이벤트&엑스포 2팀,2024 월드 스마트시티 엑스포,2024,2024-09-03,2024-09-05,국토교통부(MOLIT),"국제회의, 학술회의, 비즈니스 행사, 전시, 엑스포, 이벤트",과학/기술서비스,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","킨텍스(KINTEX), 한국수자원공사(K-water), 한국토지주택공사(LH), 스마트도시협회",,
74,컨벤션 사업부,컨벤션 2팀,GPVC 2024,2024,2024-08-11,2024-08-14,한국태양광발전학회(KPVS),"학술회의, 전시",에너지/환경,한국태양광발전학회(KPVS),한국태양광발전학회(KPVS),,
75,컨벤션 사업부,컨벤션 1팀,2025 세계올림픽도시연맹 총회 유치 제안서 제작 용역,2024,2024-06-12,2024-08-12,평창군,유치용역,관광/레저/스포츠,,,,
76,컨벤션 사업부,컨벤션 1팀,제16차 한베트남 환경장관회의,2024,2024-07-01,2024-07-01,환경부(ME),기타,에너지/환경,환경부(ME),환경부(ME),,
77,컨벤션 사업부,컨벤션 1팀,2025 APEC 정상회의 인천 유치공모 추진,2024,2023-09-27,2024-06-21,인천관광공사(ITO),기타,인문/사회/경제/역사/법/남북,인천관광공사(ITO),인천관광공사(ITO),,
78,공간 사업부,놀이터사업팀,노원구 중평어린이공원 실내놀이터,2024,2023-07-14,2024-06-14,노원구,공간사업(놀이터),건설/건축/인테리어,노원구,노원구,,
79,E&E 사업부,전시 1팀,"NextRise 2024, Seoul",2024,2024-06-13,2024-06-14,한국산업은행(KDB),"비즈니스 행사, 전시, 국제이벤트",창업/취업/스타트업/비즈니스,한국산업은행(KDB),한국산업은행(KDB),,
80,E&E 사업부,전시 1팀,글로벌 농업 ODA 포럼 (2024 한·아프리카 농업 컨퍼런스),2024,2024-06-05,2024-06-05,농림축산식품부(MAFRA),"학술회의, 국제이벤트",농수축산/식음료,"농림축산식품부(MAFRA), 농촌진흥청(RDA)","한국농어촌공사(KRC), 한국농촌경제연구원(KREI)",,
81,E&E 사업부,전시 2팀,2024 국제농업협력 정책 홍보 및 행사,2024,2024-06-05,2024-06-05,한국농어촌공사(KRC),기타,농수축산/식음료,"농림축산식품부(MAFRA), 농촌진흥청(RDA)","한국농어촌공사(KRC), 한국농촌경제연구원(KREI)",,
82,컨벤션 사업부,컨벤션 2팀 ,AI 서울정상회의 및 AI 글로벌 포럼 (AI 글로벌 포럼),2024,2024-05-22,2024-05-22,한국지능정보사회진흥원(NIA),국제회의,전자/정보통신/방송장비/스마트,과학기술정보통신부(MSIT),한국지능정보사회진흥원(NIA),,
83,컨벤션 사업부,컨벤션 2팀 ,AI 서울정상회의 및 AI 글로벌 포럼 (AI 서울정상회의),2024,2024-05-21,2024-05-22,과학기술정보통신부(MSIT),국제회의,기타,과학기술정보통신부(MSIT),과학기술정보통신부(MSIT),,
84,공간 사업부,놀이터사업팀,중랑구 공공형 실내놀이터 2호점 놀이구조물 설계 및 제작,2024,2023-05-08,2024-05-17,중랑구,공간사업(놀이터),건설/건축/인테리어,중랑구,중랑구,,
85,E&E 사업부,이벤트&엑스포 1팀,2024년 국산 농축산물 온누리 상품권 환급행사,2024,2024-03-20,2024-04-12,한국수산회,"이벤트, 기타",농수축산/식음료,농림축산식품부(MAFRA),한국농수산식품유통공사(aT),,
86,E&E 사업부,이벤트&엑스포 1팀,2024년 수산물 소비촉진(어식백세 캠페인) 사업,2024,2024-03-04,2024-04-05,한국수산회,기타,농수축산/식음료,해양수산부(MOF),해양수산부(MOF),,
87,컨벤션 사업부,컨벤션 1팀,제3차 민주주의 정상회의,2024,"2024-03-18, 2024-03-18","2024-03-20, 2024-03-20",외교부(MOFA),"국제회의, 기타회의",인문/사회/경제/역사/법/남북,대한민국 정부,제3차 민주주의 정상회의 준비기획단,,
